date_ym	rf	ew_ret_1	ew_ret_2	ew_ret_3	ew_ret_4	ew_ret_5	vw_ret_1	vw_ret_2	vw_ret_3	vw_ret_4	vw_ret_5	ew_ret_1_5	vw_ret_1_5
197502	0.0043	0.063741935973125	0.0554550300020049	0.0261266392268935	0.0477236136598981	0.0287525032154219	0.135520893664284	0.0300008589696696	0.0499900574666163	0.0712762575190029	0.0283914759454624	0.0349894327577031	0.107129417718822
197503	0.0041	0.0945192781017767	0.092212860134694	0.0772604554728885	0.0516712660100111	0.0948085800963728	0.0725783061355392	0.0617507852654061	0.0643188909858917	0.00303369073238141	0.0812403269820412	-0.000289301994596106	-0.008662020846502
197504	0.0044	0.0731535948364547	0.0598045075393952	0.0642783546546365	0.0399740921278495	0.0333053415739587	0.111823390927963	0.030933707200985	0.0716883532552031	0.0532569897700089	0.0418789254236199	0.039848253262496	0.0699444655043435
197505	0.0044	0.0905766256488575	0.0765803362307776	0.0648497227184249	0.054273634621863	0.0631285488761828	0.039377457008099	0.0685540620097456	0.0380093010419872	0.0751624035930701	0.0447970348179534	0.0274480767726746	-0.00541957780985444
197506	0.0041	0.0730234863203621	0.0796366092678956	0.0797925880577443	0.0576919582886514	0.0605632910970599	0.0241686223843259	0.0607439871470477	0.052145309439216	0.0433851384648882	0.0612127323426552	0.0124601952233023	-0.0370441099583293
197507	0.0048	-0.0341473795170896	-0.037044761821541	-0.01090897341621	-0.0315171837498764	0.00717418408021331	-0.0724868723314945	-0.0575123284589863	-0.0315278852465708	-0.0637885818689953	-0.0230339273764286	-0.0413215635973029	-0.049452944955066
197508	0.0048	-0.0505076218684194	-0.0692960899539254	-0.0407994309078868	-0.0461929182241544	-0.0578483457900792	-0.0238569421336234	-0.0442054313920655	-0.0196023053760311	-0.00590200877190142	-0.0161970153123789	0.00734072392165984	-0.00765992682124445
197509	0.0053	-0.0432429755829774	-0.0381613135255796	-0.0293944544565981	-0.0330074412555879	-0.0299269613650228	-0.0309727284623844	-0.0389015922176939	-0.046024603545273	-0.0340992412330707	-0.0306523383573742	-0.0133160142179546	-0.000320390105010261
197510	0.0056	0.0176113188998508	0.0274017282221577	0.039211792863281	0.000188856881551507	0.0278961889372532	0.0722222368899133	0.0678677186935883	0.0581774188413835	0.0383783189635989	0.0908834507530024	-0.0102848700374024	-0.0186612138630892
197511	0.0041	0.0228985277643391	0.0200808267926775	0.0286234623482237	0.0260807446401837	0.0282572058184693	0.0469651334995362	0.0443095140132455	0.0306691332172315	0.00879173037508814	0.0463877354801038	-0.00535867805413027	0.000577398019432456
197512	0.0048	-0.0173644900569639	-0.00476596103416699	-0.0130699426849776	-0.015327778547847	-0.00845088994550099	-0.029579893551485	-0.00660632412929133	-0.00678560177260353	-0.0138496875375527	-0.00380269104201292	-0.00891360011146293	-0.0257772025094721
197601	0.0047	0.20348429085751	0.190744796750148	0.241611016636395	0.219222316192601	0.192734442715366	0.137573046243851	0.106428660974861	0.203176818917808	0.109434392528611	0.156890306138833	0.0107498481421447	-0.0193172598949823
197602	0.0034	0.103665600256136	0.0553755934601405	0.1006527979488	0.097621426574011	0.0937451223848377	0.000231345664781314	-0.0399353968165501	0.0715450210947447	0.000723167946899502	-0.0041898088985709	0.00992047787129816	0.00442115456335222
197603	0.004	0.0239008762002028	0.0237212550238001	0.0192384119047391	-0.000131000999541006	0.0155145347487138	0.0478419394316482	0.0474479733915701	0.00147305074567947	0.047892698812043	0.0202372166721141	0.00838634145148896	0.027604722759534
197604	0.0042	-0.0124880353669603	-0.0160096168192408	-0.020561429713072	-0.00902514215764206	-0.00292882722140731	-0.0417272375912685	-0.0317155562769895	-0.00966517502487409	0.0167285699464474	-0.0140226731078579	-0.00955920814555298	-0.0277045644834106
197605	0.0037	-0.02155402957361	-0.0339896872516938	-0.0284843082486519	0.00115741544158122	-0.0282153819791583	-0.0200831386588744	-0.0160313427887651	-0.00413642676275172	0.0101826023387161	-0.0183874010178041	0.00666135240554836	-0.00169573764107035
197606	0.0043	0.0577072142482255	0.029291667201399	0.0474532118086097	0.0326303360379187	0.0295681155773557	0.0566133866219557	0.039863421175129	0.0670805773463476	0.0308283583888993	0.0388998678643715	0.0281390986708698	0.0177135187575843
197607	0.0047	-0.0103551554232266	-0.0140756395420218	-0.00767052060903304	0.000494659284797276	0.00228767137640732	-0.0310175332395237	-0.0119504968596541	-0.0118001254213831	-0.0061071612251199	-0.00874283473540382	-0.0126428267996339	-0.0222746985041199
197608	0.0042	-0.0328376083504755	-0.0126966054062816	-0.0320688664326221	-0.0135627635407163	-0.0234492292159243	-0.0123468927843649	0.00564709642338348	-0.0203319787883528	-0.00524374660713386	-0.00799248502751493	-0.00938837913455128	-0.00435440775684994
197609	0.0044	0.0183679835446288	0.0155373472466042	0.0371849183590568	0.0288865996795076	0.00995960711372017	0.00664649320641653	0.0287623723419548	0.00493435636649127	0.050241009840762	-0.00387297951235455	0.00840837643090868	0.0105194727187711
197610	0.0041	-0.029570843938321	-0.0398543878574167	-0.0269010176388093	-0.0176934858995744	-0.0327559467322419	-0.0454190425701107	-0.0373976894549385	-0.0257374993409252	-0.0206174620953391	-0.0389081015071745	0.00318510279392095	-0.00651094106293616
197611	0.004	0.00579058272660873	0.0182172227775891	0.0422025985531402	0.0203162268377267	0.0373603847396635	0.00874187453574738	-0.0649815652298963	0.0359641088866808	-0.00589479184429507	-0.00727843762833096	-0.0315698020130548	0.0160203121640783
